,0
224,161.5
225,162.0
226,158.5
227,153.5
228,154.5
229,157.5
230,158.5
231,158.5
232,161.5
233,161.5
234,159.5
235,158.0
236,157.5
237,154.0
238,157.0
239,156.5
240,157.5
241,158.0
242,156.5
243,153.0
244,150.0
245,147.5
246,147.0
247,147.5
248,148.0
249,147.5
250,147.0
251,147.0
252,146.0
253,144.0
254,144.5
255,147.0
256,147.0
257,147.0
258,148.5
259,154.0
260,151.0
261,154.5
262,155.0
263,156.5
264,157.0
265,156.5
266,159.0
267,159.0
268,160.5
269,160.0
270,161.0
271,162.0
272,165.5
273,162.0
274,162.0
275,163.0
276,160.5
277,163.0
278,163.0
279,165.5
280,166.0
281,164.0
282,159.0
283,155.5
284,157.0
285,159.0
286,162.5
287,166.0
288,166.0
289,164.0
290,161.5
291,164.5
292,170.0
293,171.0
294,168.5
295,169.0
296,169.5
297,169.5
298,170.5
299,170.0
300,172.0
301,171.0
302,171.5
303,173.0
304,175.0
305,176.5
306,172.5
307,177.0
308,176.0
309,172.5
310,174.5
311,177.0
312,178.0
313,178.5
314,179.5
315,176.5
316,177.5
317,179.0
318,175.5
319,177.0
320,176.0
321,174.5
322,173.0
323,174.0
324,173.5
325,177.0
326,177.0
327,176.5
328,174.5
329,176.0
330,173.5
331,174.5
332,176.5
333,179.0
334,184.0
335,183.0
336,179.5
337,178.0
338,175.0
339,175.0
340,173.5
341,182.5
342,183.0
343,184.0
344,185.5
345,187.5
346,183.0
347,185.5
348,182.5
349,186.0
350,187.0
351,186.0
352,187.5
353,188.0
354,187.5
355,189.5
356,188.5
357,188.0
358,186.5
359,187.0
360,189.5
361,190.5
362,188.5
363,191.0
364,193.0
365,191.5
366,188.5
367,189.5
368,188.5
369,189.5
370,186.0
371,184.5
372,184.5
373,189.0
374,188.5
375,182.0
376,185.5
377,181.5
378,180.5
379,180.0
380,180.0
381,181.5
382,181.0
383,181.0
384,184.0
385,185.5
386,183.0
387,182.0
388,184.0
389,182.0
390,183.0
391,183.0
392,178.0
393,179.0
394,182.0
395,181.5
396,185.5
397,186.0
398,185.0
399,186.0
400,187.5
401,187.0
402,185.0
403,182.5
404,182.5
405,180.0
406,179.0
407,178.5
408,179.5
409,180.0
410,182.0
411,180.0
412,181.5
413,183.0
414,183.0
415,183.5
416,184.0
417,184.0
418,184.0
419,182.0
420,184.5
421,181.5
422,179.5
423,181.0
424,181.0
425,180.5
426,181.0
427,185.0
428,185.5
429,184.5
430,184.5
431,184.5
432,184.5
433,183.5
434,184.0
435,185.5
436,187.5
437,187.5
438,189.0
439,189.0
440,189.5
441,189.5
442,190.0
443,190.0
444,188.5
445,188.5
446,189.0
447,186.0
448,186.0
449,184.0
450,183.5
451,185.5
452,187.0
453,184.5
454,183.5
455,186.5
456,186.0
457,186.5
458,190.0
459,191.5
460,191.5
461,195.0
462,193.5
463,193.5
464,192.5
465,193.0
466,194.5
467,191.5
468,191.5
469,189.0
470,193.0
471,191.5
472,191.0
473,190.0
474,191.0
475,191.0
476,191.5
477,189.0
478,187.5
479,188.0
480,186.5
481,187.0
482,190.0
483,190.0
484,192.0
485,191.0
486,193.0
487,194.5
488,196.5
489,198.0
490,198.0
491,197.5
492,202.5
493,203.5
494,205.5
495,207.5
496,206.0
497,206.0
498,204.5
499,204.0
500,203.5
501,203.0
502,205.0
503,205.0
504,205.5
505,207.0
506,207.0
507,203.0
508,207.0
509,209.0
510,209.0
511,212.0
512,210.5
513,211.5
514,213.0
515,212.0
516,207.5
517,208.0
518,207.0
519,208.0
520,211.5
521,213.0
522,216.5
523,215.5
524,218.0
525,217.0
526,215.0
527,211.5
528,208.5
529,210.0
530,208.5
531,209.0
